Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality,Area_in_Gaj
469,3 BHK Apartment,3,Semi-Furnished,Bachelors,1654 sqft,16000,vsr celestial towers gajularamaram,183.77777777777777
470,3 BHK Apartment,5,Semi-Furnished,Family,2300 sqft,28000,smr vinay harmony county appa junction,255.55555555555554
471,3 BHK Builder Floor,2,Furnished,Bachelors,"40,000 sqft",25000,chitrapuri colony manikonda outer ring road,4444.444444444444
472,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,2630 sqft,45000,hallmark ksn residency kondapur,292.22222222222223
473,3 BHK Apartment,2,Furnished,Bachelors/Family,1800 sqft,45000,vittal rao nagar hitech city,200.0
474,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1275 sqft,20000,ncl sindhu satyam enclave komapally nh,141.66666666666666
475,2 BHK Apartment,2,Unfurnished,Bachelors,1100 sqft,11000,manovikas nagar secunderabad nh,122.22222222222223
476,3 BHK Apartment,West,Semi-Furnished,Bachelors/Family,1834 sqft,40000,my home avatar narsingi outer ring road,203.77777777777777
477,3 BHK Apartment,2,Semi-Furnished,Bachelors,1533 sqft,28000,ramanthapur nh,170.33333333333334
478,3 BHK Apartment,2,Semi-Furnished,Bachelors,1250 sqft,18000,pragathi nagar kukatpally,138.88888888888889
479,4 BHK Apartment,1,Unfurnished,Bachelors/Family,1500 sqft,9000,bandlaguda nagole srisailam highway,166.66666666666666
480,2 BHK Apartment,North - East,Unfurnished,Bachelors,900 sqft,8000,patelguda,100.0
481,2 BHK Apartment,West,Semi-Furnished,Bachelors/Family,950 sqft,11000,suchitra road,105.55555555555556
482,3 BHK Apartment,3,Furnished,Bachelors/Family,1555 sqft,32000,hafeezpet nh,172.77777777777777
483,3 BHK Builder Floor,2,Furnished,Bachelors,1600 sqft,26000,green field colony secunderabad,177.77777777777777
484,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1101 sqft,14500,bachupally outer ring road,122.33333333333333
485,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2800 sqft,45000,near gachibowli financil dist,311.1111111111111
486,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,1400 sqft,16500,moula ali moula ali road,155.55555555555554
487,3 BHK Apartment,3,Furnished,Bachelors/Family,2200 sqft,50000,gachibwoli orr junction,244.44444444444446
488,2 BHK Apartment,1,Furnished,Bachelors/Family,1314 sqft,36000,my home avatar narsingi outer ring road,146.0
489,3 BHK Apartment,1,Unfurnished,Bachelors,1490 sqft,35000,aditya nagar hafeezpet,165.55555555555554
490,3 BHK Apartment,3,Semi-Furnished,Family,2200 sqft,32000,sri sairam towers indra reddy alwyn colony miyapur nh,244.44444444444446
491,2 BHK Builder Floor,2,Furnished,Bachelors/Family,1130 sqft,18000,adibatla,125.55555555555556
492,3 BHK Apartment,North,Semi-Furnished,Family,1875 sqft,40000,shaikpet,208.33333333333334
493,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1275 sqft,13000,gaghan pahad rajendra nagar outer ring road,141.66666666666666
494,3 BHK Apartment,2,Unfurnished,Bachelors/Family,1510 sqft,22000,hafeezpet nh,167.77777777777777
495,3 BHK Apartment,3,Semi-Furnished,Bachelors,1800 sqft,30000,krishna nagar yousufguda,200.0
496,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1500 sqft,12000,bachupally outer ring road,166.66666666666666
497,2 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1200 sqft,12000,adibatla,133.33333333333334
498,2 BHK Builder Floor,1,Unfurnished,Bachelors/Family,1100 sqft,10000,malla reddy colony secunderabad,122.22222222222223
499,3 BHK Apartment,1,Furnished,Bachelors/Family,1198 sqft,36000,mantri celestia gachibowli outer ring road,133.11111111111111
500,2 BHK Apartment,2,Unfurnished,Bachelors,1500 sqft,12000,buddha nagar colony boduppal,166.66666666666666
501,2 BHK Builder Floor,1,Furnished,Bachelors/Family,850 sqft,25000,mehdipatnam,94.44444444444444
502,2 BHK Builder Floor,1,Furnished,Bachelors/Family,850 sqft,28000,mehdipatnam,94.44444444444444
503,2 BHK Apartment,1,Unfurnished,Bachelors/Family,600 sqft,15000,,66.66666666666667
504,3 BHK Apartment,2,Unfurnished,Bachelors,1600 sqft,15000,dr as rao nagar,177.77777777777777
505,2 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1300 sqft,12000,bachupally outer ring road,144.44444444444446
506,3 BHK Builder Floor,3,Furnished,Bachelors/Family,2400 sqft,30000,marredpally,266.6666666666667
507,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1660 sqft,18000,boduppal nh,184.44444444444446
508,2 BHK Apartment,2,Unfurnished,Bachelors/Family,1150 sqft,14000,nizampet,127.77777777777777
